question_id,poll_id,cycle,state,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,fte_grade,sample_size,population,population_full,methodology,office_type,seat_number,seat_name,start_date,end_date,election_date,sponsor_candidate,internal,partisan,tracking,nationwide_batch,ranked_choice_reallocated,created_at,notes,url,stage,answer,candidate_name,candidate_party,pct,Latitude,Longitude
116815,63513,2020,New Hampshire,1528,AtlasIntel,,,AtlasIntel,546,AtlasIntel,,1100,rv,rv,Online,U.S. President,0,,2002/8/20,2002/10/20,,,FALSE,,,FALSE,FALSE,2002/10/20 22:24,,https://projects.fivethirtyeight.com/polls/20200210_NH.pdf,general,Sanders,Bernard Sanders,DEM,43.7,44,-71.5
116815,63513,2020,New Hampshire,1528,AtlasIntel,,,AtlasIntel,546,AtlasIntel,,1100,rv,rv,Online,U.S. President,0,,2002/8/20,2002/10/20,,,FALSE,,,FALSE,FALSE,2002/10/20 22:24,,https://projects.fivethirtyeight.com/polls/20200210_NH.pdf,general,Trump,Donald Trump,REP,46.9,44,-71.5
116816,63513,2020,New Hampshire,1528,AtlasIntel,,,AtlasIntel,546,AtlasIntel,,1100,rv,rv,Online,U.S. President,0,,2002/8/20,2002/10/20,,,FALSE,,,FALSE,FALSE,2002/10/20 22:24,,https://projects.fivethirtyeight.com/polls/20200210_NH.pdf,general,Warren,Elizabeth Warren,DEM,40.5,44,-71.5
116816,63513,2020,New Hampshire,1528,AtlasIntel,,,AtlasIntel,546,AtlasIntel,,1100,rv,rv,Online,U.S. President,0,,2002/8/20,2002/10/20,,,FALSE,,,FALSE,FALSE,2002/10/20 22:24,,https://projects.fivethirtyeight.com/polls/20200210_NH.pdf,general,Trump,Donald Trump,REP,46.8,44,-71.5
116817,63513,2020,New Hampshire,1528,AtlasIntel,,,AtlasIntel,546,AtlasIntel,,1100,rv,rv,Online,U.S. President,0,,2002/8/20,2002/10/20,,,FALSE,,,FALSE,FALSE,2002/10/20 22:24,,https://projects.fivethirtyeight.com/polls/20200210_NH.pdf,general,Biden,Joseph R. Biden Jr.,DEM,43.5,44,-71.5
116817,63513,2020,New Hampshire,1528,AtlasIntel,,,AtlasIntel,546,AtlasIntel,,1100,rv,rv,Online,U.S. President,0,,2002/8/20,2002/10/20,,,FALSE,,,FALSE,FALSE,2002/10/20 22:24,,https://projects.fivethirtyeight.com/polls/20200210_NH.pdf,general,Trump,Donald Trump,REP,45.9,44,-71.5
116818,63513,2020,New Hampshire,1528,AtlasIntel,,,AtlasIntel,546,AtlasIntel,,1100,rv,rv,Online,U.S. President,0,,2002/8/20,2002/10/20,,,FALSE,,,FALSE,FALSE,2002/10/20 22:24,,https://projects.fivethirtyeight.com/polls/20200210_NH.pdf,general,Buttigieg,Pete Buttigieg,DEM,46.1,44,-71.5
116818,63513,2020,New Hampshire,1528,AtlasIntel,,,AtlasIntel,546,AtlasIntel,,1100,rv,rv,Online,U.S. President,0,,2002/8/20,2002/10/20,,,FALSE,,,FALSE,FALSE,2002/10/20 22:24,,https://projects.fivethirtyeight.com/polls/20200210_NH.pdf,general,Trump,Donald Trump,REP,45.3,44,-71.5
116800,63511,2020,,744,Ipsos,71,Reuters,Ipsos,154,Ipsos,B-,952,rv,rv,Online,U.S. President,0,,2002/6/20,2002/10/20,,,FALSE,,,FALSE,FALSE,2002/10/20 18:40,,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-02/topline_reuters_2020_election_tracker_02_10_2020_wu.pdf,general,Biden,Joseph R. Biden Jr.,DEM,44,,
116800,63511,2020,,744,Ipsos,71,Reuters,Ipsos,154,Ipsos,B-,952,rv,rv,Online,U.S. President,0,,2002/6/20,2002/10/20,,,FALSE,,,FALSE,FALSE,2002/10/20 18:40,,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-02/topline_reuters_2020_election_tracker_02_10_2020_wu.pdf,general,Trump,Donald Trump,REP,42,,
